ID,BIO,BIOCAT,CONIFTYP,TCB,TCG,TCW,NLCD
558,33,A,0,2408.67,1471.04,-879.1,41
559,90,B,0,2424.11,1878.99,-663.86,41
560,124,B,0,2206.29,1747.02,-498.32,90
561,73,A,0,2301.06,1538.56,-671.21,42
562,27,A,0,2892.53,2062.01,-802.19,41
563,56,A,1,1801.08,1098.83,-570.38,90
564,0,A,0,2696.94,2261.29,-622.09,41
565,37,A,0,2781.75,2035.83,-811.71,41
566,39,A,1,1953.97,1254.76,-531.74,42
567,7,A,0,2602.87,1521.39,-1095.37,52
568,64,A,1,1292.16,894.4,-201.89,42
569,105,B,0,2149.77,1462.01,-610.07,42
570,113,B,0,2542.67,1793.66,-808.41,41
571,77,A,1,1554.8,1062.06,-361.1,42
572,110,B,0,2421.93,1623.63,-773.32,41
573,55,A,0,1829.44,1294.64,-438.42,42
574,99,B,0,2134.85,1568.26,-570.31,41
575,61,A,1,1795.75,1212.35,-463.2,90
576,52,A,1,1955.75,1420.76,-380.12,90
577,2,A,0,3350.33,2317.86,-1106.87,41
578,53,A,1,2351.13,1468.06,-764.06,41
579,30,A,1,1957.23,1129,-674.88,42
580,61,A,1,2010.01,1316.03,-612.26,90
581,45,A,0,2689.86,1838.35,-969.82,41
582,13,A,1,2125.44,1165.64,-729.17,90
583,169,C,0,2040.76,1576.51,-496.55,42
584,36,A,1,2016.85,1675.45,-307.49,42
585,35,A,1,2665.05,1845.72,-761.41,52
586,48,A,1,1950.38,1239.6,-560.83,90
587,78,A,0,2237.68,1401.84,-747.08,42
588,86,B,1,2170.07,1704,-397.77,42
589,25,A,0,2226.86,1280.08,-750.69,42
590,21,A,1,1777.11,1091.42,-477.63,90
591,94,B,0,3105.47,2620.76,-667.26,41
592,109,B,0,2673.9,2043.5,-581.02,42
593,3,A,0,2271.53,1417.58,-842.29,90
594,119,B,0,2312.01,1623.49,-576.5,42
595,32,A,0,2508.53,1977.51,-599.92,52
596,34,A,1,2131.22,1483.64,-766.78,42
597,114,B,0,2437.14,1832.25,-704.82,41
598,17,A,0,2810.59,2084.26,-850.01,41
599,12,A,0,2499.06,989.93,-1287.61,42
600,31,A,1,1886.27,1303.46,-510.73,42
601,87,B,1,2011.15,1408.37,-538.13,41
602,61,A,1,1974.3,949.6,-800.41,90
603,2,A,1,2356.94,1093.52,-1037.49,90
604,23,A,1,1873.32,1084.01,-560.09,90
605,163,C,0,2699.15,2027.95,-773.34,41
606,30,A,1,2229.25,1420.52,-713.74,90
607,32,A,1,2149.21,1350.99,-498.99,90
608,35,A,1,1834.69,1365.25,-303.5,42
609,59,A,1,2242.74,1061.15,-1064.72,52
610,111,B,1,1827.17,1374.06,-236.04,42
611,57,A,0,2154.37,1580.49,-585.92,41
612,181,C,0,2239.65,1738.7,-593.3,41
613,15,A,1,2647.97,1419.99,-1116.97,41
614,88,B,0,1947.21,1464.74,-369.12,42
615,78,A,0,2085.66,1484.07,-537.63,42
616,151,B,0,2067.88,1423.69,-611.76,41
617,68,A,0,2377.28,1710.37,-697.26,41
618,60,A,1,2162.99,1489.2,-722.11,41
619,55,A,0,2414.61,1468.67,-965.57,90
620,93,B,0,2342.5,1486.7,-804.17,41
621,211,C,0,2813.71,2270.37,-640.55,41
622,74,A,1,1915.51,1178,-599.84,90
623,73,A,0,2095.53,1663.53,-518.57,41
624,8,A,1,2232.77,1440.42,-657.72,90
625,53,A,1,1737.43,1077.39,-579.32,90
626,77,A,1,2088.46,1304.31,-750.15,42
627,36,A,1,1639.64,1044.84,-394.81,42
628,77,A,1,1883.3,1022.67,-736.35,42
629,53,A,1,2340.03,1534.37,-826.82,41
630,98,B,0,2205.41,1605.65,-582.68,41
631,46,A,0,2254.57,1299.33,-979.9,42
632,7,A,1,2064.55,1165.06,-690.64,90
633,18,A,0,2781.81,1758.66,-881.4,52
634,55,A,1,2104.51,1461.35,-504.14,90
635,77,A,1,1575.56,970.55,-410.7,41
636,19,A,0,2755.28,1977.08,-788.38,41
637,46,A,1,2061.5,1345.53,-627.58,41
638,222,C,0,2877.19,2303.68,-729.56,41
639,117,B,1,2079.79,1281.45,-718.8,90
640,125,B,0,2333.05,1883.22,-435.34,41
641,140,B,1,1768.12,1088.36,-583.32,42
642,14,A,0,2837.48,2072.92,-835.46,41
643,38,A,0,2815.41,1855.84,-1028.33,41
644,45,A,0,2649.71,2001.67,-789.4,41
645,92,B,0,2388.83,1746.68,-652.69,41
